ID,Theme,Citation Key,Authors,Year,Title,Outlet / Status,Document / Data,Method,Outcome / Task,Key Finding,Overlap with Disclosure Drift,Novelty Threat,Planned Use,Source URL,Verification,Last Checked
GENAI-09,GenAI in capital markets,cao2026capitalmarkets,"Cao, Sean Shun; Chen, Wilbur Xinyuan; Ma, Guang; Srinivasan, Suraj",2026,"Generative AI in Capital Markets: Information Production, Consumption, and Intermediation",Journal of Accounting Research,Research synthesis across capital-market participants and disclosures,Framework and synthesis of emerging empirical evidence,"Information production, consumption, and intermediation",Frames GenAI as affecting both creation and processing of financial information.,High-level literature boundary for claims about GenAI-era capital markets.,Medium,Positioning and mechanism framework.,https://ssrn.com/abstract=6806138,Primary working-paper and journal metadata reviewed,2026-07-25
GENAI-10,AI risk disclosures,marin2025airisks,"Marin, Lucas G. Uberti-Bona; Rijsbosch, Bram; Spanakis, Gerasimos; Kollnig, Konrad",2025,Are Companies Taking AI Risks Seriously? A Systematic Analysis of Companies’ AI Risk Disclosures in SEC 10-K Forms,arXiv preprint,"More than 30,000 SEC 10-K filings, 2020–2024",Large-scale extraction and analysis of AI-related risk disclosures,"Prevalence, content, and specificity of AI-risk language","AI-risk mentions rose sharply, while many disclosures remained generic.",Direct observed-language neighbor and important confound: firms may mention AI because their business risks changed.,Medium-High,Exclude/control explicit AI-risk discussion and measure generic versus firm-specific AI language.,https://arxiv.org/abs/2508.19313,Primary arXiv page reviewed,2026-07-25
GROUND-03,Auditable financial QA,wang2026arqa,"Wang, Ruilong; Balloccu, Simone",2026,ARQA: Auditable Reasoning for Financial Question Answering,ACL 2026,Financial documents with reasoning and evidence,"Benchmarking auditable, source-grounded financial reasoning",Financial question answering with traceable evidence,Evaluates whether model answers can be traced to explicit financial evidence and reasoning.,Supports auditability requirements for evidence-grounded features and explanations.,Low,Evidence-lineage and explanation validation.,https://aclanthology.org/2026.acl-long.128/,Primary ACL metadata reviewed,2026-07-25
GROUND-04,Financial verification benchmark,panda2026finverbench,"Panda, Silu",2026,FinVerBench: Benchmarking Verifiable Financial Reasoning,arXiv preprint,"Financial facts, claims, and supporting evidence",Benchmark for verification and grounded reasoning,Correctness and evidence verification,Separates fluent financial responses from answers that can be verified against evidence.,Directly informs factual-preservation and claim-verification tests.,Low,Rewrite validation and evidence-grounded evaluation.,https://arxiv.org/abs/2604.07115,Primary arXiv metadata reviewed,2026-07-25
GROUND-05,Grounded SEC event extraction,dolphin2026events,"Dolphin, Robert; Dursun, Irem; Blankenship, Jeff; Adams, Griffin; Pike, Christopher",2026,Grounded Event Extraction from SEC 8-K Filings,arXiv preprint,SEC Form 8-K filings,Evidence-linked extraction of material corporate events,Grounded event identification and source linkage,Demonstrates a pipeline for extracting structured corporate events while retaining supporting disclosure evidence.,Methodological precedent for evidence-linked narrative features.,Low,Claim-to-source architecture and event-feature design.,https://arxiv.org/abs/2606.17918,Primary arXiv metadata reviewed,2026-07-25
DATA-02,Modern EDGAR research dataset,bettencourt2026stanfordedgar,"Bettencourt, Jesse; Ding, Yuxuan; Giesecke, Kay",2026,The Stanford EDGAR Filings Dataset,arXiv preprint / dataset paper,Large structured corpus of SEC EDGAR filings,"Dataset construction, normalization, and release",Reproducible financial-document research,Provides a modern large-scale SEC filing resource and standardized processing framework.,"Important engineering comparator, although our point-in-time lineage may require an independent pipeline.",Low,Data-engineering comparison and possible validation source.,https://arxiv.org/abs/2606.09676,Primary arXiv metadata reviewed,2026-07-25
GROUND-06,Long-form grounded financial QA,long2025finlfqa,"Long, Yicheng; Hu, Yifan; Zhao, Yilun; Cohan, Arman; Zhao, Yilun",2025,FinLFQA: A Long-Form Financial Question Answering Benchmark,ACL 2025,Financial documents and long-form answers,Long-form financial QA with document grounding,Faithful synthesis and reasoning over financial evidence,Benchmarks long-form financial reasoning where factual support and citation quality matter.,Supports evidence-linked explanation evaluation rather than style-only predictions.,Low,Explanation quality and evidence-coverage criteria.,https://aclanthology.org/2025.acl-long.1110/,Primary ACL page reviewed,2026-07-25
GROUND-07,Grounded financial generation,guo2026finground,"Guo, Yuchen; Wu, Shijie; Yiu, Siu-Ming",2026,FinGround: A Benchmark for Grounded Financial Generation,arXiv preprint,"Financial source documents, claims, and generated responses",Grounding and attribution benchmark,Faithfulness of generated financial analysis,Evaluates whether generated financial claims are supported by the supplied evidence.,Useful for rewrite preservation and evidence-linked model explanations.,Low,Grounding metric selection.,https://arxiv.org/abs/2602.11851,Primary arXiv metadata reviewed,2026-07-25
GROUND-08,Financial multi-document RAG benchmark,yang2026finmragbench,"Yang, Yucheng; Zhang, Yiming; Li, Zhenyu; Chen, Qian; Wang, Haoyu; Liu, Zhiyuan",2026,FinMRAGBench: Benchmarking Multi-Document Retrieval-Augmented Generation in Finance,Findings of ACL 2026,Multiple financial documents and evidence-intensive questions,Retrieval-augmented generation benchmark,Multi-document financial reasoning and attribution,Shows the difficulty of retrieving and synthesizing the correct evidence across financial documents.,Supports rigorous source retrieval and evidence coverage in the robust model.,Low,Multi-source evidence and citation evaluation.,https://aclanthology.org/2026.findings-acl.187/,Primary ACL metadata reviewed,2026-07-25
PRED-12,Aggregation-dependent 10-K sentiment,choi2026howmuch,"Choi, Sanggyu Sean",2026,How Much of a 10-K Matters? Aggregation-Dependent Value of Full-Text versus Risk-Factor Sentiment,arXiv preprint,"1,383 10-K filings from 94 Nasdaq-100 technology constituents, 2006–2023","Supervised lexicon learning against return and volatility labels at sector, portfolio, and individual-firm aggregation levels",Return and realized-volatility sentiment classification and correlation with market outcomes,"Full-filing text performs better at sector and portfolio levels, while Item 1A performs better at the individual-firm level; the result depends on aggregation and available training signal.","Important late-breaking comparator for full-text versus section-specific modeling and supervised 10-K language measures, but not a GenAI-era temporal reliability, calibration, operating-outcome, or rewrite study.",Medium-High,Require section-specific and aggregation-level robustness checks; avoid claiming novelty for comparing full 10-K text with Item 1A.,https://arxiv.org/abs/2607.14174,Full primary arXiv paper reviewed,2026-07-25
